date,instrument,open,high,low,close,volume,open_interest
2011-03-30,es1s,1036.29878826,1045.35287074,1035.11782098,1042.40045254,1931014.54925123,3351067.44005118
2011-03-30,fesx1s,2991.59633391,3001.00386955,2975.91710784,2985.32464348,890992.0,1989484.0
2011-03-30,gc1s,657.23221081,662.55411648,653.94651253,659.40725052,325698.65182845,718496.95226581
2011-03-30,hg1s,5.79916195,5.83648131,5.65788152,5.69653371,30400.62864791,59903.92143208
2011-03-30,ho1s,3.12642545,3.14485232,3.10861281,3.12581122,47016.01764104,105381.87444958
2011-03-30,ng1s,0.02354404,0.02425699,0.0235164,0.02406908,21481265.6587005,44977089.7972443
2011-03-30,nq1s,1735.9697674,1751.6680622,1734.4746917,1745.12710603,238104.0,425096.0
2011-03-30,pl1s,1879.14874198,1917.81745678,1878.6101805,1910.92386974,7791.12524352,28913.13315763
2011-03-30,rb1s,7.62992418,7.70017669,7.60935023,7.67082118,18969.57185353,41607.51095866
2011-03-30,si1s,14.85568763,15.11378645,14.76565316,15.01014677,141508.30155118,187413.21971796
2011-03-31,cl1s,78.67128077,80.57188117,78.52798153,80.48891845,328839.64488285,457446.33160918
2011-03-31,es1s,1042.7941083,1043.7782477,1039.64486222,1040.03851798,2106683.26040142,3363018.23685834
2011-03-31,fesx1s,2997.86802433,2997.86802433,2957.10203656,2972.78126262,1094283.0,2023256.0
2011-03-31,gc1s,659.17586332,666.85791845,657.92637242,666.3488666,256286.86152138,738396.4970307
2011-03-31,hg1s,5.67454195,5.746515,5.65921435,5.74118366,22350.11542221,59759.11723333
2011-03-31,ho1s,3.12744916,3.20484201,3.12488988,3.18631277,51731.19740363,106795.35386049
2011-03-31,ng1s,0.02417409,0.02454991,0.02324006,0.02425699,32168340.9786171,45107907.6327865
2011-03-31,nq1s,1744.94022157,1750.35987097,1739.8943411,1746.43529727,304981.0,441160.0
2011-03-31,pl1s,1906.93851474,1926.97300207,1900.79891378,1920.72568882,4953.00919616,29783.04311392
2011-03-31,rb1s,7.67759553,7.82813662,7.67132298,7.79727569,20123.40966246,40991.33366934
2011-03-31,si1s,14.98373666,15.19781862,14.95572593,15.16100452,173043.7233132,183684.64778128
2011-04-01,cl1s,80.4134978,81.80877984,80.17215172,81.40905039,350508.77640548,448662.26526045
2011-04-01,es1s,1040.23534586,1050.07673986,1039.64486222,1045.35287074,1615921.99225954,3347156.66277737
2011-04-01,fesx1s,2974.8718261,3019.81894083,2973.82654436,3015.63781388,1060488.0,2047217.0
2011-04-01,gc1s,663.52594273,665.37704035,654.1316223,661.25834814,342376.32437655,743673.36621475
2011-04-01,hg1s,5.71585981,5.74451575,5.61389799,5.67587478,25227.4423766,59020.09062315
2011-04-01,ho1s,3.17761119,3.21855979,3.16583847,3.2088345,41477.36645937,104635.57294997
2011-04-01,ng1s,0.02434542,0.02447253,0.02368773,0.02410777,19694326.5939498,44910685.7230479
2011-04-01,nq1s,1748.49102635,1762.69424546,1744.19268372,1748.11725743,285683.0,464587.0
2011-04-01,pl1s,1919.43314125,1924.28019463,1890.56624552,1913.93981407,4064.53125788,29692.06000216
2011-04-01,rb1s,7.80204283,7.94104243,7.77394182,7.90666888,20779.44318008,40912.81689961
